AnimalID,Breed,Age,Weight,LactationPeriod,HealthStatus,FeedType,FeedAmount,WaterIntake,Temperature,Humidity,BarnCondition,PastMilkProduction,MilkingFrequency,VetVisits,MilkProduction
1,Guernsey,9,535.69,182,Sick,Silage,28.89,44.86,19.77,53.44,Dirty,10.20,2,5,30.51
2,Ayrshire,9,416.66,160,Sick,Grain,10.05,41.47,19.98,51.92,Moderate,23.83,1,3,35.23
3,Jersey,4,599.82,291,Healthy,Alfalfa,28.63,99.13,25.65,81.45,Moderate,29.37,3,2,37.67
4,Ayrshire,5,320.36,206,Healthy,Silage,19.95,78.28,23.39,79.52,Moderate,16.33,2,5,29.12
5,Holstein,7,539.61,236,Sick,Grain,21.76,50.30,26.02,34.25,Moderate,22.27,3,5,34.26
6,Holstein,7,371.86,295,Sick,Alfalfa,26.39,89.52,15.65,35.79,Moderate,11.70,1,3,31.43
7,Friesian,3,414.43,257,Sick,Alfalfa,13.69,60.21,16.14,73.94,Clean,24.55,2,5,33.51
8,Holstein,6,423.68,196,Sick,Grain,24.31,46.91,24.20,51.73,Moderate,28.19,3,0,35.60
9,Holstein,8,408.87,221,Sick,Grain,11.01,28.85,27.87,57.91,Dirty,27.90,2,2,32.19
10,Guernsey,2,387.15,212,Sick,Alfalfa,27.55,21.57,23.85,49.06,Clean,18.90,3,5,37.16
11,Jersey,3,425.87,216,Sick,Silage,12.43,96.28,27.85,47.77,Dirty,17.27,2,0,28.71
12,Jersey,6,352.33,269,Sick,Hay,14.25,39.78,19.10,55.81,Moderate,25.52,1,3,26.07
13,Friesian,2,327.24,185,Sick,Grain,18.84,74.25,24.28,42.97,Clean,15.21,3,2,29.81
14,Ayrshire,3,349.73,277,Sick,Pasture,21.67,67.14,17.28,42.31,Dirty,24.10,3,3,35.17
15,Jersey,10,529.68,234,Healthy,Pasture,29.66,82.26,24.43,38.30,Dirty,22.16,1,2,30.55
16,Ayrshire,5,348.73,177,Healthy,Pasture,26.47,32.94,23.75,70.75,Clean,12.51,1,5,28.61
17,Ayrshire,1,337.81,260,Sick,Alfalfa,24.71,95.98,25.27,88.70,Dirty,18.41,3,3,34.00
18,Jersey,3,511.74,187,Sick,Pasture,11.85,56.34,20.37,51.04,Dirty,26.21,1,1,26.78
19,Holstein,7,464.40,180,Sick,Pasture,13.67,30.43,24.40,82.42,Clean,25.49,2,1,36.00
20,Jersey,7,359.30,193,Sick,Hay,17.82,78.26,27.68,41.73,Moderate,26.15,1,0,26.27
21,Jersey,10,371.02,173,Sick,Pasture,18.02,71.78,26.81,80.44,Moderate,14.75,2,5,35.83
22,Jersey,7,375.63,299,Sick,Alfalfa,23.49,54.55,19.69,42.80,Moderate,14.62,1,3,27.23
23,Guernsey,4,565.01,269,Sick,Pasture,28.01,95.37,21.71,31.48,Clean,11.36,2,4,34.84
24,Jersey,1,362.95,264,Sick,Pasture,29.69,59.12,28.82,61.60,Moderate,17.32,2,0,36.77
25,Friesian,9,545.33,220,Sick,Pasture,26.62,51.05,18.71,69.42,Dirty,19.72,2,1,34.45
26,Friesian,2,489.35,282,Healthy,Pasture,16.03,70.45,16.60,60.29,Dirty,16.90,2,4,34.00
27,Jersey,2,426.49,300,Sick,Grain,18.79,29.62,20.68,57.00,Moderate,29.21,1,1,30.00
28,Friesian,3,506.84,267,Sick,Hay,17.70,43.07,27.38,57.35,Dirty,18.38,2,4,38.95
29,Guernsey,5,384.72,244,Sick,Grain,10.09,23.63,27.72,77.29,Moderate,19.21,2,2,32.55
30,Jersey,3,576.10,299,Healthy,Silage,26.33,90.88,25.99,64.21,Clean,24.14,1,3,32.34
31,Jersey,2,462.01,202,Healthy,Pasture,15.47,21.16,23.84,53.87,Clean,11.54,2,4,32.92
32,Holstein,10,406.93,237,Healthy,Grain,23.16,84.79,19.94,42.27,Clean,22.89,2,2,32.06
33,Jersey,7,378.03,298,Sick,Pasture,12.85,65.30,28.59,40.78,Clean,15.61,3,3,31.48
34,Guernsey,5,543.46,288,Healthy,Silage,29.00,59.26,22.08,85.92,Dirty,21.46,2,2,32.26
